Vassar Metadata Type
"Name","Content Type","Title","Description","Date Created","Shoot Type","Photographer","OTHER Photographer Name","Shoot Location","Copyright Notice","Usage Stipulations/Contact Info","Recurring Event","Other Event","Keywords","Project/Publication","Filepath"
"0117_13_07_BL_4070","Photograph","URSI Pesticides","Under the auspices of URSI, the Undergraduate Research Summer Institute, biology professor Kate Susman and URSI fellow Tushar Agarwal '14 looked at the effects of so-called green lawn chemicals on the health and behavior of soil nematodes, July 2013","","Laboratory researchºPortrait candid","Buck Lewis","","Olmsted Hall","©Vassar College","","","","URSI Undergraduate Research Summer Institute biology diversity lab male student science","",""
"_26A1275","Photograph","Lipid Chemistry Lab","Biochemistry professor Theresa Garrett with student interns in her laboratory","04/12/2013","","Holly Wilmeth","","","©Vassar College","","","","","",""
"_26A6377","Photograph","Class of '51 Observatory","Professors Debbie Elmegreen and Fred Chromey with students in the dome room of the Observatory","04/15/2013","","Holly Wilmeth","","","©Vassar College","","","","","",""
"_26A6418","Photograph","Looking Through the Telescope","Astronomy professor Debra Elmegreen in the Observatory with students","04/15/2013","","Holly Wilmeth","","","©Vassar College","","","","","",""
"_26A7773","Photograph","Kelli Duncan's Lab","Biology professor Kelli Duncan working with students on her brain injury research project","04/16/2013","Faculty-student interactionºLaboratory research","Holly Wilmeth","","Olmsted Hall","©Vassar College","","","","diversity","",""
"Geology 10","Photograph","Death Valley and Mojave Desert Spring Break Trip","Earth Science professor Jill Schneiderman and her sedimentology class went to Death Valley and the Mojave Desert over spring break 2013. Here: The Artist's Drive Formation, colors caused by the oxidation of different elements.","","Study Trips","","","","","","","","Earth Science and Geography, study trip, science","",""
"Nursery Research 0710 RM_5246","Photograph","Nursery Research 2007","Student conducts an experiment with a young subject at Wimpfheimer Nursery School; for the science viewbook, October 2007","10/09/2007","Academics / classroom teachingºLaboratory researchºPortrait candid","Russell Monk","","Wimpfheimer Nursery School","©Vassar College","","","","Wimpfheimer Nursery School experiment female student laboratory for observation science resources","Science Viewbook, 2007",""
"Robots 08 SRA-8","Photograph","Students Watching Robots","2008 Robot Competition: Mission to Mars","05/09/2008","","Sam Rosen-Amy ‘08","","","©Vassar College","","","","robotics robots science villard room","","Academic Units A-Z/B/Biology/Robots 08 SRA-8.jpg"
"Stream Study 06 WG 36","","Students Studying the Stream","URSI Earth Biology","","","Walter Garschagen","","","©Vassar College","","","","","","Academic Units A-Z/U/URSI/Stream Study 06 WG 36.jpg"
"URSI Biochemistry 09 JA 18","","Maria Kern '11 and David Jemiolo","URSI Biochemistry","","","John Abbott","","","© Vassar College","","","","2009 Associate Professor of Biology Biochemistry David Jemiolo Director of Bio-Chemistry Program Gene Expression in Canine Cancers Maria Kern '11 Student Summer URSI lab science student professor interaction","","Academic Units A-Z/C/Chemistry/URSI Biochemistry 09 JA 18.jpg"
"Yellowstone Trip_0870","Photograph","Class Photo Volcanoes and Civilization","The class poses for a photo on Sheepeater Cliff in Yellowstone National Park.  Fall Break study trip for Volcanoes and Civilization","10/17/2012","Study Trips","OTHER","Jeff Walker","Off Campus","","","","","","",""

